,title,genre,summary
593,In Enemy Hands,science," As the story begins, Honor returns to her Steading on Grayson, having just been promoted to Commodore for her actions in Honor Among Enemies. During a party celebrating her promotion, she engages in a heated debate with Earl White Haven, her superior, and the two realize they have mutual unspoken romantic feelings for each other. In an attempt to escape her own feelings, Honor goes with Alistair McKeon on a convoy escort mission to the Adler system, which has been captured by Citizen Rear Admiral Lester Tourville of the DuQuesne base, under the orders of Thomas Theisman, in order to capture or destroy a large chunk of Manticoran shipping. Spotting the ambush and after salvaging what she can of her convoy from Havenite attack, Honor orders McKeon to surrender. After learning of Honor's capture Cordelia Ransom, the People's Republic's Secretary for Public Information, demands that the Manticorans be surrendered to her for propaganda uses. Unable to deny Ransom and her StateSec enforcers, Admiral Theisman capitulates. The crew are transferred to the Havenite battlecruiser PNS Tepes, Ransom's personal flagship, bound for the Havenite prison planet of Hades, where Ransom intends to execute Honor for a death sentence handed down by the prior government. Ransom gives any crew member serving under Harrington a chance to defect and Senior Chief Petty Officer Harkness takes up the offer claiming that Manticore have never really done anything for him. Unbeknownst to StateSec, Harkness has no intention of truly defecting, and after fooling his assigned watchdogs, hacks into the security and communication systems, eventually disabling them and causing massive explosions in the boat bays. Freeing the rest of the crew, they manage to destroy the Tepes and land on Cerberus B 2, facing a well-provided for prison camp and unknown amounts of space forces."
594,Caballo de Troya,science," The book is narrated as if it is a true report of how the author was approached by an unnamed retired US Air Force pilot, referred to as ""The Major"" throughout the book (Jasón in later books), who in an elaborated indirect way tells the author how to find classified documents telling the story of the Operation Trojan Horse, in which The Major took part as a time traveller sent to witness the last weeks of Jesus's life through a time-travelling device sent back in time by the US military in an Israel base in 1973. A lengthy, detailed ""technical"" description of the time travel process (""inversion of quantum swivels"") is provided. The time-traveller and the time-travelling vehicle are said to have been wrapped by an artificial skin to avoid biological contamination. The Major, who becomes the narrator of the story, is codenamed ""Jasón"" during the mission, and has to learn fluent Aramaic and Greek as a necessary skill to interact with people of this era and place during the mission, as well as other extensive training. It is ""revealed"" that many of the amazing stories of eclipses, earthquakes after Jesus's death and his transfiguration were linked to extraterrestrial influences. Jesus's physical appearance is described as almost Nordic, with hazel eyes and very tall (he is sometimes called ""The Giant"", physically and metaphorically in the book). Even as the 1970s UFO mania has lost traction in Spanish-speaking countries, Benítez has retained solid sales and certain celebrity on the basis of his book series. The following 8 sequels expand on the issued and reveal more detail. Caballo de Troya 9, Caná was published in Spain in 2011. He wrote in his website that he first became interested in the ""real"" life of Jesus around that time, when a team of researchers said that the Shroud of Turin showed traces of Jesus' body. These claims have later come under scrutiny, but the fact has not stopped the flow of new Caballo de Troya books. The author has claimed the time-travel part of Caballo de Troya is fiction, but that it contains ""more truth than people think"" suggesting, given he purports to be ""a UFO researcher"", that he might be claiming alien contact. The author insists that most, if not all, events in his novels are real."
595,Flight of the Hawk,science," The story is about Andy who is sent to live with his mysterious Grandfather Hawkes after his parents' deaths. Andy soon finds out his grandfather isn't what he seems but actually an inventor, for one thing and also discovers that his parents' deaths may not have been an accident. When Grandfather Hawkes's life is threatened, Andy decides he's not going to lose another person he loves. So using his grandfather's inventions, Andy becomes The Hawk."
596,Downward to the Earth,science," Edmund Gunderson was the Terran administrator of the colony world of Belzagor, and he returns to it after it has gained independence, feeling a sense of guilt for the way he has treated its dominant species, the elephant-like nildoror, whose animalistic appearance had kept Gunderson from taking them seriously as sentient beings. On his return, he feels a new sense of kinship with the natives, perhaps more than for the Terran tourists. The nildoror undergo a process of rebirth, and Gunderson’s greatest guilt comes from having denied rebirth to seven nildoror to make them help him repair flood damage. He encounters his old colleague Jeff Kurtz, who had undergone the rebirth ceremony only to be turned into something monstrous. Nevertheless, Gunderson dares to subject himself to the rebirth ceremony, which brings him a new understanding of the native creatures and new powers by which he can heal Kurtz and bring new understanding to others."
597,There Will Be Time,science," Jack Havig, born in the American midwest in 1933, has a genetic mutation that allows him to travel effortlessly through time. He learns that an apocalypse will arrive around the turn of the 21st century, due to over-pollution and nuclear warfare. Farther still in the future, a New Zealand/Micronesian culture known as ""the Maurai Federation"" will come to dominate the world and impose their vision of a less industrialized, more ecologically balanced world. Jack reasons that there must be other people with the same ability to travel through time; to find them, he visits Jerusalem at the time of the crucifixion, walking through the street singing the Greek mass. He is identified by agents of a time-traveling organization, the ""Eyrie,"" who take him to their headquarters in the far future. At first Jack joins their group, but eventually he rebels against the group's leader, a 19th-century racist whose goal is to stop the Maurai ascendancy. To defeat him, Jack must return to the 20th century, where he locates an independent group of time-travelers, eventually returning to the future to overthrow the Eyrie. Much of the story takes place in times past, including an interlude in the Byzantine empire, where Jack saves the life of a Byzantine girl during the carnage of the Fourth Crusade and falls in love with her."
598,Things Not Seen,science," Robert Phillips, known by his nickname ""Bobby"", wakes up one day to find that he can no longer see himself. Upon discovery, he heads downstairs and tries to convince his parents that it's not a trick. He drinks a glass of orange juice, which to the astonishment of his parents, seems to make a""spoon float in the air."" After a brief argument with his mother, Bobby is told to stay at home until his parents decide get back from work (His mother is an English professor, and his father a scientist.) After his parents are gone, Bobby heads to the library, bundled up to conceal his secret invisible self, and after a brief walk around, he hurriedly leaves, bumping into a girl. His scarf comes off so he's scared she will freak out. He helps to retrieve her things, and realizes she's blind when he hands her back her cane. Upon returning home, he gets in trouble because he left the house. His parents leave to get dinner and Bobby watches TV and takes a nap when he wakes up the TV says that there was a major three car crash. He sees one of the cars is his family's. The Police then come to his door and check on him. After they leave Bobby goes to the hospital to see his parents. When he gets there he takes off his clothes (so he can be invisible) and goes to find his parents. He can only find his Mom. After talking to his Mom he uses money she gave him to get a taxi and he goes home. He returns to the library the next day. He goes naked this time, and stumbles upon the blind girl in a listening room. He enters the room with her permission and they start talking. He learns that her name is Alicia, and befriends her. Together, they try to find the 'cure' for his predicament."
599,Home Is the Hunter,science," Captain Kirk, commanding the USS Enterprise, gets into a fight with a Klingon ship concerning arguments over a primitive planet and its inhabitants. A mysterious, powerful entity named 'Weyland' stops the fight and decides to punish three of the Enterprise crew with their own history. Hikaru Sulu is sent to feudal Japan during a bloody power struggle. Scotty is sent to Scotland in the eighteenth century on the eve of revolt. Chekov is sent to his beloved homeland of Russia during World War 2. All three eventually make it back home to their right time and place, Sulu even managing to leave a literal mark on history with a carved message on a durable rock."
602,The Vanished Diamond,science," The protagonist is a French mining engineer, Victor Cyprien. He moves to the Griquland district to study the formation of diamonds. While he is there he falls in love with wealthy landowner Mr. John Watkins' daughter, Alice. He asks him for her hand in marriage but is denied on his lack of money and stature in the community. He decides that he could amass a fortune by mining with a partner, Thomas Steel. They buy a mining claim and proceed to dig. Victor hires a team of Africans to mine the claim. The claim collapses when Victor's team of hired help is digging. He manages to rescue one of them, Mataki. Achieving no great finds, Victor is disheartened for there are many more eligible suitors than he. Alice begs Cyprien to returns to his studies. So Victor decides to attempt to artificially make a diamond. His experiment seems to work as a 243 carat (48.6 g) diamond is produced. He gives it to Mr. Watkins for Alice. Mr. Watkins holds a banquet in honor of Cyprien and his accomplishment. The diamond, christened as The Star of the South by Alice, is on display during this banquet. Midway through the banquet, the diamond vanishes as well as Victor's African hired help, Mataki. Mataki appears to flee with the diamond and Mr. Watkins, enraged, offers Alice's hand to whoever brings the diamond back. Victor and three other suitors set off to hunt Mataki down. They prepare to travel across the Veld. Victor brings along two companions his laundry man, Li and a member of his digging team, Bardik. Along the way, the other three of his companions perish at the hands of animals or disease. Victor captures Mataki and Mataki states he does not have the diamond. The only reason he ran was because he was afraid he would be hung unjustly for the diamond's disappearance. Victor returns to Griqualand and finds the diamond in the stomach of Alice's ostrich, Dada. Cyprien is almost hung because his discovery of making artificial diamonds threatened the livelihood of the miners. He is only saved by Mataki's confession. Mataki found the diamond when he was covered by the landslide and stuck it in Victor's experiment in gratitude. Victor is shocked. Not caring about the diamond's origin, Mr. Watkins is glad for the recovery and holds another banquet. Mr. Vandergaart, the original owner of the land bursts in with a certificate saying that the land is once again his. John Watkins is devastated and is even more devastated when the Star of the South disintegrates. Shocked he dies the next day. Victor and Alice marry and live happily ever after."
603,Blast Off at Woomera,science," Strange objects have been sighted on the moon near Mons Pico and suspecting a communist plot the British Government hurriedly plans a mission to photograph the domes from above closer range. The rocket is not large enough to send a man - enter Chris Godfrey, a 17-year old science whizz with an interest in rocketry and crucially less than 5 feet tall ! The launch site is Woomera Rocket Research Station in South Australia but there may be a Soviet traitor amongst the ground crew... The book pre-dates the first actual usage of satellite imagery by two years, and manned spaceflight by four years."
604,The Runaway Skyscraper,science," ""The Runaway Skyscraper"" concerns Arthur Chamberlain, an engineer who works in a midtown Manhattan office building called the Metropolitan Tower. When the sun suddenly begins moving backwards in the sky, setting rapidly in the east, he is the only one to realize what is actually happening: a flaw in the rock beneath the building has caused it to subside, but instead of moving in space, the building is falling backwards into the past. When the subsidence finally ends, the building is located several thousand years in the past, and its 2000-odd inhabitants find themselves stranded in pre-Columbian Manhattan. Chamberlain also realizes that the same seismic forces that caused the building to drop back into the past can also be used to return it to the present, but that doing so will require several weeks of intensive work by the building's inhabitants, and in the meantime they must concentrate on feeding themselves. Chamberlain convinces the president of a bank on the first floor that he can return them to the present, and together they are able to organize the other inhabitants into hunting and fishing parties. Two weeks later, Chamberlain is ready to implement his plan. He forces a jet of soapy water into an artesian well beneath the building, and this allows the pressure that has built up in the rock to be released. The building travels forward in time again, returning to the exact moment when it began to travel into the past."
605,Phylogenesis,science," Desvendapur is an anti-social Thranx poet native to the colony on Willow-Wane who believes he can find new inspiration for his poetry by coming in contact with the physically repulsive humans, an intelligent mammal race that is unlike the insectoid thranx. Desvendapur's aspirations lead him to a secret thranx colony in the Amazon Basin on Terra where he meets a petty human thief turned murderer, Cheelo Montoya. Desvendapur is fascinated by the first native human he comes across so, with great resistance on the part of Montoya, chooses to follow the human, using him as the basis of a series of poems. The mismatched pair flee from the authorities, a pair of poachers who wish sell Desvendapur to a private zoo, and ultimately demonstrate how the two races can get along and work together on common challenges. By the end, the unlikely pair find a mutual understanding. The Thranx colony in the Amazon Basin is revealed to the Earth community and the diplomatic beginnings of the Humanx Commonwealth are greatly accelerated. Montoya becomes a celebrity despite his unwillingness to be in the spotlight and Desvendapur's poems he composed during his time on Earth become wildly popular amongst the Thranx."
607,The Outlaws of Mars,science," Jerry Morgan, a man with no future on Earth, is offered a new life on Mars. He starts out on the wrong foot, meeting a princess and killing the fearsome-looking Martian beast he takes to be menacing her, which actually turns out to be her pet. From there Morgan becomes entangled in the politics of the Byzantine Martian royal court, spurns the advances of a would-be lover, escapes his hosts and role as an expendable political pawn. Various adventures follow, with dazzling swordplay, feats of strength, and other trials, tribulations and treacheries. Kline's Mars has multiple parallel canals, surrounded by walls and terraces, and the construction of the canals by Martian machines is described. The story has a race-war element that may jar the modern reader."
608,Knights of Forty Islands,science," Dima, a 14-years boy who used to fight on streets of his native city Alma-ata, now has to fight in a place where swords are used instead of fists. The new environment consists of forty islands, each connected to three others via high and narrow bridges. There is a castle on each island; and about 15-18 kids (""knights"") live in each one. The islands are distinct: dictatorship or democracy, a brutal rude leader or a kind one. The population is made up of approximately 70% boys and 30% girls in homogenous or heterogeneous national groups, no one older than 18. Everyone wants to return home, but to do so they are told they must conquer all 40 islands - then, the aliens promised, they would return the winners to their homes. There are also several rules of engagement, also set down by aliens. Swords are wooden at first, but a sword turns steel when the wielder feels hatred and desire to kill towards the opponent. Although retaining the world of feelings of usual children, these ""knights"" change: they learn to fight to the death, not to pay much attention to wounds; they cover friends and take revenge for fallen ones. Dima sees his new friends being killed, and he kills, too. The way of life at the islands is very stable, since the aliens take into account human psychology and sociology, even though they don't understand human feelings, relationships and motivation. Also, as it turns out, they had a long time, decades, of trial and error. Dima and Inga, a girl he knew on Earth, propose the establishment of a Confederation of islands as the way to stop the Game, and get support among their peers. Some knights refuse to join the Confederation and are killed when they do not surrender to the conquerors. However, the Confederation, even realized, proves to be unstable and is doomed from the beginning: though most want to return home, some only want power for themselves... Also, this attempt was not the first: Dima and his friends discover a hidden room with remains of children who got on islands during the Second World War and locked themselves in, when their attempt of Union of Islands collapsed because of betrayal. But the heroes also find old weapons in this room, including dynamite. Now the action rushes..."
609,We Can Build You,science," We Can Build You is set in the then-future year of 1982. It centers on Louis Rosen, a small businessman whose company produces spinets and electronic organs. Rosen's partner wants to begin production of simulacra, or androids, based on famous Civil War figures. The firm completes two prototypes, one of Edwin M. Stanton and one of Abraham Lincoln. Rosen then attempts to sell the robot patents to Sam K. Barrows, an influential businessman who is opening up lunar real estate for purchase and colonization. Unfortunately, while the Stanton simulacrum proves able to adapt to contemporary U.S. society, the Lincoln simulacrum proves unable to do so, possibly due to the fact that the original experienced schizophrenia. At the same time, Louis begins a relationship with Pris Frauenzimmer, the schizophrenic daughter of his business partner, who has designed both simulacra. This becomes an obsession and Louis himself begins to hallucinate about Pris. At the same time, Pris defects to Barrows but then loses faith in the benevolence of their partnership when his objectives are disclosed as more prosaic than hers, with his plans to use simulacra colonists to entice human settlement on the Moon and other human interplanetary colonies within the solar system. After Pris's destruction of a John Wilkes Booth prototype simulacrum, the Stanton/Lincoln simulacra strand of the plot abruptly terminates. The remainder of the book deals with Louis Rosen's admission of schizophrenia and his Jungian therapeutic treatment at the Kasanin Centre in Kansas from where Pris was originally released. Under the influence of his therapist Rosen creates a virtual hallucinatory reality of his own where he resumes his relationship with Pris, marries her, has children and grows old together with her, finally culminating with him hitting her hallucinatory doppelgänger in a fit of pique. This concludes his final therapy session and he is released from the Kasanin clinic after his doctor accuses him of malingering. The end of the novel posits the query of whether he was actually batty to begin with. The real-world Pris, however, has become unwell again, and she is returned to Kasanin following her short-lived career as a simulacra designer."
610,The Dosadi Experiment,science," The novel is set in a distant future when humans are part of an interstellar civilization called the ConSentiency composed of many species. One, the Taprisiots, provide instant mind-to-mind communication between two sentient minds anywhere in the universe, and the Caleban provide jump-doors which allow instantaneous travel between any two points in the universe. This is the glue that holds the far-flung ConSentiency together. Unfortunately, one consequence of jump-door technology is the possibility that large numbers of unsuspecting sentients can be diverted to destinations unknown for nefarious purposes. A government saboteur attempts to expose one such plot. Jorj X. McKie is a Saboteur Extraordinary, one of the principals of the Bureau of Sabotage, and the only human admitted to practice law before the Gowachin bar as a legum (lawyer). While meditating in a park in BuSab headquarters McKie is mentally contacted by the Caleban Fannie Mae, a female member of a species of unparalleled power from another dimension whose visible manifestation in this universe is the star Thyone in the Pleiades cluster Generations ago, a secret, unauthorized experiment by the Gowachins was carried out with the help of a contract with the Calebans. They isolated the planet Dosadi behind an impenetrable barrier called ""The God Wall"". On the planet were placed humans and Gowachin, with an odd mix of modern and old technology. The planet itself is massively poisonous except for a narrow valley, containing the city ""Chu"", into which nearly 89 million humans and Gowachin are crowded under terrible conditions. It is ruled by a dictator, many other forms of government having been tried previously, but without the ability to remove such things as the DemoPol, a computer system used to manipulate populaces without their consent or knowledge. The culture of ordinary day to day power in Dosadi is very violent. Among other tools, addictive psychotropes are used for handling power among hierarchies in organisations. Senior Liator Keila Jedrik starts a war that will change Dosadi forever. Jorj travels to Dosadi and escapes with Keila after engaging in ego sharing. This gives them the ability to swap bodies and thus by using a hole in the contract sealing Dosadi they can escape via jump gate. Once free, by legal manoeuvring the Dosadi population is unleashed upon the ConSentiency for good or ill, whilst the people who set the project in motion try to deal with the consequences, having sent McKie there hoping a solution more in their interest could be found."
612,Reflex,science," Since the conclusion of Jumper, David Rice, a young man with the ability to teleport, has married Millie and occasionally works for the National Security Agency, only accepting jobs that he finds to be morally acceptable. During a meeting with Brian Cox, his handler, Brian is killed and David is kidnapped by a powerful criminal organization with influence over the NSA and other government agencies. Millie discovers that she, too, has the ability to ""jump"", and sets out to find and rescue David with help from members of the NSA and, later, the FBI. The novel tells the story from David's and Millie's perspectives in alternating chapters."
615,At All Costs,science," Due to the actions of the High Ridge government in War of Honor, which led to a successful attack on key Alliance shipyards by the Republic of Haven, the Star Kingdom of Manticore finds itself decidedly on the short end of the strategic balance between the two warring star nations. Admiral Honor Harrington is placed in command of Eighth Fleet, the Manticoran Alliance's primary offensive force, which is the sole heavy formation available for operations against Haven. Queen Elizabeth and her senior advisors project it will be at least two ""T-years"" (Terran years, i.e. Earth years) before they can expect any significant numbers of new construction to begin bolstering their thin wall of battle; this while Haven's progress under Admirals Theisman and Foraker have given them an even larger force advantage, and smaller technological disparity, than Haven suffered before the beginning of hostilities in Short Victorious War. Strategically, the goal of Honor and Eighth Fleet is to instill enough operational caution and sensitivity to losses in Haven to force redeployments; this would have the desperately needed effect of reducing the available number of ships of the wall Haven would then be able to concentrate for offensive action against the Star Kingdom and its allies. Despite the grave circumstances, the Star Kingdom finds itself spread dangerously thin against its security commitments; to itself and the Alliance. At All Costs climaxes with the largest and most critical battle of the entire series, the Battle of Manticore, as Havenite forces attack the Manticoran home star system. Haven comes close to winning the battle, until Admiral Harrington's Eighth Fleet intervenes, giving Manticore a hard-won victory. Both sides suffer heavy losses, and they are temporarily stalemated. Honor continues to work closely with Hamish Alexander, now First Lord of the Admiralty, on the military and political challenges facing the Alliance. Their professional respect for each other's abilities, and their need for mutual support as they navigate the precarious political landscape in the Star Kingdom, has led them into the very romantic embrace the High Ridge government tried to insinuate during War of Honor. While this is not the dire political crisis it was during the prior Star Kingdom government, it still offers numerous personal and professional difficulties for them. Unfortunately, they find themselves trapped between their emotions and their responsibilities to each other, to the loved ones in their lives, and to the Star Kingdom and the Alliance. The dilemma is resolved when the Reverend of Grayson engineers a polygamous marriage of Honor to Hamish and his crippled wife."
616,1634: The Bavarian Crisis,science," Early revelations detail machinations by the Habsburg heiress Archduchess Maria Anna of Austria to gather information as aided and abetted by a dowager aunt and her younger sister behind the backs of her father Emperor Ferdinand II and his Jesuit watchdogs. Duke Maximilian I, Elector of Bavaria becomes a widower in need of a suitable Catholic bride, while the Cardinal-Infante Ferdinand whose armies have reconquered 80–85% of the Low Countries by the summer of 1634 is contemplating a dynastic move of his own which his brother King Philip IV of Spain will find a bit disconcerting. Veronica Dreeson and Mary Simpson meanwhile plan a trip to tend to personal matters to the Upper Palatinate border region conquered by Gustavus Adolphus of Sweden and administered for him from Amberg by ally Duke Ernest of Saxe-Gotha, one of the four Wettin dukes that were supplanted by Grantville's (formation of the NUS) actions in 1631 and 1632. Events in the other 1634 novels (1634: The Galileo Affair, 1634: The Ram Rebellion, 1634: The Baltic War) are integrated into the action and political events behind the scenes, and this book ties a host of little oddities into a coherent canvas capturing a snapshot of the state of Europe in early summer of 1634. Concurrent with their pet projects, the formidable Dreeson and Simpson women are accompanied by a trade delegation with the strategic goal of restoring the iron production of the Upper Palatinate to feed the war needs of the USE."
617,"For Us, The Living: A Comedy of Customs",science," Perry Nelson, a normal 1939 engineer, is driving his automobile when he has a blowout, skids over a cliff, and wakes up in the year 2086. Though he was apparently killed in the summer, he re-appears in extremely cold snow, nearly dies again by freezing, and is saved by a fur-clad woman named Diana. The exact circumstances of his being killed and reborn after a century and half are never explained. The later 21st Century people seem strangely incurious, showing little interest in how he had come to be among them and rather take his appearance for granted and proceed to explain to him the details of the social and political set-up of their world."
619,Johnny Mackintosh and the Spirit of London,science," Set in the early 21st century, the book opens with Johnny Mackintosh living in a children's home (Ben Halader House) located in the fictional Castle Dudbury New Town in the county of Essex, United Kingdom. He has written a SETI-style program for the children's home's computers and, at the beginning of the book, an alien signal is detected. As the book develops Johnny Mackintosh is abducted by aliens and travels to the centre of the Galaxy, before returning to Earth, but in the distant past. He witnesses the extinction of the dinosaurs and the destruction of Atlantis, before returning to the present day and discovering the truth about his parents. The Spirit of London of the title is the name of the spaceship acquired by Johnny Mackintosh during the course of the book. From the outside it appears identical to the skyscraper situated at 30 St Mary Axe in London, known as 'the Gherkin'."
622,Force Heretic: Remnant,science," Luke Skywalker leads a Jedi mission to find the lost, living world of Zonama Sekot, and on his way helps repel a Yuuzhan Vong invasion of the Imperial Remnant, formerly the Empire. Peace is declared between the Remnant and the reorganizing Galactic Alliance, but this is marred by the ruin of Barab I and the destruction of N'zoth by the Yuuzhan Vong. Meanwhile, the Solos (minus Jacen, since he is with Luke trying to find Zonama Sekot) and their allies discover an alliance between the Vong and the Fians, the inhabitants of Galantos, which is thwarted after the Vong try to invade the planet. Elsewhere, on Yuuzhan'tar, Nom Anor takes on the identity of Yu'shaa, prophet of the heretical Jeedai cult."
623,Against a Dark Background,science," Seven of the original eight Lazy Guns were destroyed before the events of Against a Dark Background. One disappeared with its user when he tried to fire it at the local sun, one suffered a lucky strike during an air raid, two self destructed when investigators tried to take them apart and another was destroyed by an assassin. A sixth was destroyed when investigators fired it with its lenses looking through an electron microscope. The seventh, found before the events of the book by the Lady Sharrow and her team, was destroyed by the university it was sold to when they tampered with it. The resulting explosion devastated the city the university was located in. The hunt for the eighth and final Lazy Gun is the main plot theme of Against a Dark Background. Much of the novel concerns Sharrow's adventures in searching for and acquiring it. Her motivation is that the Huhsz religious cult regard it as a sacred object, and that if she can find it and give it to them, their vendetta against her will lapse. Sharrow encounters various political systems on her travels across Golter. She also meets the Solipsists, a gang of pirate mercenaries on a hovercraft, who hold very unusual philosophical beliefs. When the last Lazy Gun is eventually discovered, it is guarded by an elaborate defense system incorporating a genetic key which Sharrow has to deactivate."
625,Queen of the Empire,science," When a demonstration of a ""decoy"" Human Replica Droid of Leia goes wrong and the droid shoots a scientist, Han and Leia are forced to fly him to his home planet of Chad to get treatment. When they reach the planet's hospital a hurricane is ravaging it. After Han is able to bring the scientist to the doctors, he is trapped by falling rubble caused by the storm. When Leia eventually saves him, he reveals that the experience scared him that he wouldn't be able to reveal his big plans. Upon leaving the scientist in the doctors' care, Han proposes to Leia and they plan on eloping at Hologram Fun World, an amusement park. With the help of the new owner of the park, Lando Calrissian, they plan a wedding and visit many hologram attractions, including a trip through the Alderaan of Leia's memories. While they are at the park, one of Zorba the Hutt's spies in the park tells him that Leia is alive and he plans on capturing her and killing her on Tatooine as she did to his son. With some help, he manages to capture her during a magic show and take her to his ship, with the carbonite-frozen body of Trioculus, for the trip to Tatooine. Zorba's ship, however, is captured by the Moffship of Grand Moff Hissa. When they discover Trioculus is still alive, he is quickly unfrozen and only spares Zorba's life when Zorba reveals where Leia is. Hoping to turn Leia to his side, Trioculus drops Zorba into the Pit of Carkoon into the mouth of the Sarlacc. While Trioculus makes plans to marry Leia, Han and Lando, joined by Luke, Ken and the Human Replica Droid of Leia are able to infiltrate the Moffship and plan a rescue operation. They rescue Leia and are able to replace her with the Human Replica Droid, who goes to the wedding in Leia's place. While the Millennium Falcon escapes, the droid's lasers pierce Trioculus' heart. As he lay dying, unbeknownst to anyone, Zorba crawled out of the Sarlacc, as no creature in the universe can digest a Hutt."
629,The New Rebellion,science," Kueller, a Dark Jedi, destroys millions with his powers. Luke Skywalker feels this genocide, and is afraid that the destruction will continue. Meanwhile, an assassination attempt is made on Princess Leia Organa, which is blamed on Han Solo. However, this is quickly discovered to be Kueller's doing. Luke decides to seek the aid of Brakiss, a former student. However, Brakiss is in on Kueller's plan, and Luke joins the spiral of death that is to follow. Eventually, Luke Skywalker is led to Kueller, though a wake of destruction is left behind."
630,Stand on Zanzibar,science," The story is set in 2010, mostly in the United States. A number of plots and many vignettes are played out in this future world, based on Brunner's extrapolation of social, economic, and technological trends. The key main trends are based on the enormous population and its impact: social stresses, eugenic legislation, widening social divisions, future shock, and extremism. Certain of Brunner's guesses are fairly close, others not, and some ideas clearly show their 1960s mind-set. Many futuristic concepts, products and services, and slang are presented. A supercomputer named Shalmaneser is an important plot element. The Hipcrime Vocab and other works by the fictional sociologist Chad C. Mulligan are frequent sources of quotations. Some examples of slang include ""codder"" (man), ""shiggy"" (woman), ""whereinole"" (where in hell?), ""prowlie"" (an armored police car), ""offyourass"" (possessing an attitude), ""bivving"" (bisexuality, from ""ambivalent"") and ""mucker"" (a person running amok). A new technology introduced is ""eptification"" (education for particular tasks), a form of mental programming. Another is a kind of interactive television that shows the viewer as part of the program (""Mr. & Mrs. Everywhere""). Genetically modified microorganisms are used as terrorist weapons. The book centres on two New York men, Donald Hogan and Norman Niblock House, who share an apartment. House is a rising executive at General Technics, one of the all-powerful corporations. Using his ""Afram"" (African American) heritage to advance his position, he has risen to vice-president at age twenty-six. Hogan is introduced with a single paragraph rising out of nowhere: ""Donald Hogan is a spy"". Donald shares an apartment with House and is undercover as a student. Hogan's real work is as a ""synthesist"", although he is a commissioned officer and can be called up for duty. The two main plots concern the fictional African state of Beninia (a name reminiscent of the real-life Benin, though that nation in the Bight of Benin was known as the Republic of Dahomey when the book was written) making a deal with General Technics to take over the management of their country, in a bid to speed up development from third world to first world status. A second major plot is a break-through in genetic engineering in the fictional Australasian nation of Yatakang (which seems to be a disguised Indonesia), to which Hogan is soon sent by the U.S. government (""State"") to investigate. The two plots eventually cross, bringing potential implications for the entire world."
631,The Postman,science," Despite the post-apocalyptic scenario, and several action sequences, the book is largely about civilization and symbols. Each of the three sections deals with a different symbol. The first is the Postman himself, Gordon Krantz, who takes the uniform solely for warmth after he loses everything but his sleeping clothes. He wanders without establishing himself anywhere, and acts in scenes of William Shakespeare for supplies. Originally from Minnesota, he has traveled as far West as Oregon. Taking shelter in a long-abandoned postal van, he finds a sack of mail and takes it to a nearby community to barter for food and shelter. His reputation as a real postman builds not because of a deliberate fraud (at least initially) but because people are desperate to believe. Later, in the second section, he encounters a community (Corvallis, Oregon) led by Cyclops, apparently a sentient artificial intelligence created at Oregon State University which miraculously survived the cataclysm. In reality, however, the machine had ceased functioning during a battle; a group of scientists merely maintain the pretense of it working to try and keep hope, order, and knowledge alive. Eventually, in the third section, as the Postman joins forces with the Cyclops scientists in a war against an influx of ""hypersurvivalists"", he begins to find that the hypersurvivalists are being pressed from the Rogue River area to the south as well. The hypersurvivalists are more commonly referred to as Holnists, after the founder of their ideal, Nathan Holn. Many times through the book, curses are uttered which damn Holn for his actions. Nathan Holn was an author who championed an extreme, violent, misogynistic and hypersurvivalist society. Holn is said to have himself been hanged in the novel, but in the time following what should have been a brief period of civil disorder, followers of Holn prevented the United States from recovering from the limited war, and the plagues that followed. As the story ends, and he comes close to the hypersurvivalist's southern enemy, he begins to find traces of them, primarily in the symbol that they rally behind: the Bear Flag of California. The final scenes give the impression that the three symbols may rally together in an effort to revive civilization. Another message of the plot deals with the backstory of the post-apocalyptic world: specifically, that it was not the electronics-destroying electromagnetic pulses, nor the destruction of major cities, nor the release of various bio-engineered plagues that actually destroyed society: rather, it was the hypersurvivalists themselves, those who maintained stockpiles of weapons and ammunition and who preyed on humanitarian workers and other forces of order."
633,The Last of the Jedi: Return of the Dark Side,science," Things go wrong when Palpatine comes to Samaria, ordering Ferus, who is a double agent, to kill his companions. Years ago, when they were both Jedi Apprentices, Ferus Olin and Anakin Skywalker were rivals. Now their paths are about to cross again.... Abandoning the Jedi Order saved Ferus's life. As a result, he is the only one who can track down and save Jedi who have survived the rise of the Empire. He has Rebellion on his mind, and hopes to bring about the fall of the Emperor. Only Darth Vader stands in his way. Ferus might not realize it, but his old rival is now his new deadly enemy. es:Return of the Dark Side"
634,What Price Honor?,science," The second original novel to be based on the brand new Star Trek series Enterprise, currently wowing audiences on both Sky and Channel 4, poses a tense and gritty dilemma for one member of the crew. The Starship Enterprise NX-01 is Earth's flagship - the first vessel to embark on a systematic exploration of what lies beyond the fringes of known space. Led by Captain Jonathan Archer, eighty of Starfleet's best and brightest set forth to pave humanity's way to the stars. Tempered by a year of interstellar exploration, the crew has become a disciplined, cohesive, unit. And now, for the first time, they have lost one of their number. As they deal with the death, Archer, Reed and the rest of the crew find themselves caught squarely in the middle of another tense situation - a brutal war between two alien civilizations. But in the Alpha System nothing is what it seems."
