Title,Description,Genres1
Dreamland: The True Tale of America's Opiate Epidemic,"In fascinating detail, Sam Quinones chronicles how, over the past 15 years, enterprising sugar cane farmers in a small county on the west coast of Mexico created a unique distribution system that brought black tar heroinÃ¢â¬âthe cheapest, most addictive form of the opiate, 2 to 3 times purer than its white powder cousinÃ¢â¬âto the veins of people across the United States. Communities where heroin had never been seen beforeÃ¢â¬âfrom Charlotte, NC and Huntington, WVA, to Salt Lake City and Portland, ORÃ¢â¬âwere overrun with it. Local police and residents were stunned. How could heroin, long considered a drug found only in the dense, urban environments along the East Coast, and trafficked into the United States by enormous Colombian drug cartels, be so incredibly ubiquitous in the American heartland? Who was bringing it here, and perhaps more importantly, why were so many townspeople suddenly eager for the comparatively cheap high it offered?With the same dramatic drive of El Narco and Methland, Sam Quinones weaves together two classic tales of American capitalism: The stories of young men in Mexico, independent of the drug cartels, in search of their own American Dream via the fast and enormous profits of trafficking cheap black-tar heroin to AmericaÃ¢â¬â¢s rural and suburban addicts; and that of Purdue Pharma in Stamford, Connecticut, determined to corner the market on pain with its new and expensive miracle drug, Oxycontin; extremely addictive in its own right. Quinones illuminates just how these two stories fit together as cause and effect: hooked on costly Oxycontin, American addicts were lured to much cheaper black tar heroin and its powerful and dangerous long-lasting high. Embroiled alongside the suppliers and buyers are DEA agents, local, small-town sheriffs, and the US attorney from eastern Virginia whose case against Purdue Pharma and Oxycontin made him an enemy of the Bush-era Justice Department, ultimately stalling and destroying his career in public service.Dreamland is a scathing and incendiary account of drug culture and addiction spreading to every part of the American landscape.",Nonfiction
Kendra Kandlestar and the Door to Unger,"LOST IN A MAZE OF MYSTERY . . . Everyone knows that the creatures of the outside world are forbidden by magic to enter the land of Een. ThatÃ¢â¬â¢s why Kendra Kandlestar is so surprised when a giant Unger arrives in the middle of the night to deliver a cryptic message: If she can find the Door to Unger, she will be able to unlock the truth about her long-lost family. But when Kendra finds herself trekking through the wilderness with a magic-peddling faun and a rebellious Unger, she begins to wonder if itÃ¢â¬â¢s all just a clever trap to lead her into the heart of danger. Whom can Kendra trust? ThereÃ¢â¬â¢s only one way to find out: peek through the Door to Unger and enter a world of magic, monsters, and mystery!",Fantasy
"Golden Fool (Tawny Man, #2)","The acclaimed Farseer and Liveship Traders trilogies established Robin Hobb as one of the most splendidly imaginative practitioners of world-class fantasy. Now, in Book 2 of her most stunning trilogy yet, Hobb continues the soul-shattering tale of FitzChivalry Farseer. With rich characters, breathtaking magic, and sweeping action, Golden Fool brings the reluctant adventurer further into the fray in an epic of sacrifice, salvation, and untold treachery.Golden FoolPrince Dutiful has been rescued from his Piebald kidnappers and the court has resumed its normal rhythms. But for FitzChivalry Farseer, a return to isolation is impossible. Though gutted by the loss of his wolf bondmate, Nighteyes, Fitz must take up residence at Buckkeep and resume his tasks as ChadeÃ¢â¬â¢s apprentice assassin. Posing as Tom Badgerlock, bodyguard to Lord Golden, FitzChivalry becomes the eyes and ears behind the walls. And with his old mentor failing visibly, Fitz is forced to take on more burdens as he attempts to guide a kingdom straying closer to civil strife each day.The problems are legion. Prince DutifulÃ¢â¬â¢s betrothal to the Narcheska Elliania of the Out Islands is fraught with tension, and the Narcheska herself appears to be hiding an array of secrets. Then, amid Piebald threats and the increasing persecution of the Witted, FitzChivalry must ensure that no one betrays the PrinceÃ¢â¬â¢s secretÃ¢â¬âa secret that could topple the Farseer throne: that he, like Fitz, possesses the dread Ã¢â¬Åbeast magic.Ã¢â¬ÂMeanwhile, FitzChivalry must impart to the Prince his limited knowledge of the Skill: the hereditary and addictive magic of the Farseers. In the process, they discover within Buckkeep one who has a wild and powerful talent for it, and whose enmity for Fitz may have disastrous consequences for all.Only FitzÃ¢â¬â¢s enduring friendship with the Fool brings him any solace. But even that is shattered when unexpected visitors from Bingtown reveal devastating secrets from the FoolÃ¢â¬â¢s past. Now, bereft of support and adrift in intrigue, FitzÃ¢â¬â¢s biggest challenge may be simply to survive the inescapable and violent path that fate has laid out for him.From the Hardcover edition.",Fantasy
"Everblaze (Keeper of the Lost Cities, #3)","Sophie uncovers shocking secretsÃ¢â¬âand faces treacherous new enemiesÃ¢â¬âin this electrifying third book in the Keeper of the Lost Cities series.Sophie Foster is ready to fight back.Her talents are getting stronger, and with the elusive Black Swan group ignoring her calls for help, sheÃ¢â¬â¢s determined to find her kidnappersÃ¢â¬âbefore they come after her again.But a daring mistake leaves her world teetering on the edge of war, and causes many to fear that she has finally gone too far. And the deeper Sophie searches, the farther the conspiracy stretches, proving that her most dangerous enemy might be closer than she realizes.",Fantasy
"Flim-Flam!: Psychics, ESP, Unicorns, and Other Delusions","James Randi is internationally known as a magician and escape artist. But for the past thirty-five years of his professional life, he has also been active as an investigator of the paranormal, occult, and supernatural claims that have impressed the thinking of the public for a generation: ESP, psychokinesis, psychic detectives, levitation, psychic surgery, UFOs, dowsing, astrology, and many others. Those of us unable to discriminate between geniune scientific research and the pseudoscientific nonsense that has resulted in fantastic theories and fancies have long needed James Randi and Flim-Flam!In this book, Randi explores and exposes what he believes to be the outrageous deception that has been promoted widely in the media. Unafraid to call researchers to account for their failures and impostures, Randi tells us that we have been badly served by scientists who have failed to follow the procedures required by their training and traditions. Here he shows us how what he views as sloppy research has been followed by rationalizations of evident failures, and we see these errors and misrepresentations clearly pointed out. Mr. Randi provides us with a compelling and convincing document that will certainly startle and enlighten all who read it.",Nonfiction
Percy Jackson's Greek Heroes,"Who cut off Medusa's head? Who was raised by a she-bear? Who tamed Pegasus? It takes a demigod to know, and Percy Jackson can fill you in on the all the daring deeds of Perseus, Atalanta, Bellerophon, and the rest of the major Greek heroes. Told in the funny, irreverent style readers have come to expect from Percy, ( I've had some bad experiences in my time, but the heroes I'm going to tell you about were the original old school hard luck cases. They boldly screwed up where no one had screwed up before. . .) and enhanced with vibrant artwork by Caldecott Honoree John Rocco, this story collection will become the new must-have classic for Rick Riordan's legions of devoted fans--and for anyone who needs a hero. So get your flaming spear. Put on your lion skin cape. Polish your shield and make sure you've got arrows in your quiver. We're going back about four thousand years to decapitate monsters, save some kingdoms, shoot a few gods in the butt, raid the Underworld, and steal loot from evil people. Then, for dessert, we'll die painful tragic deaths. Ready? Sweet. Let's do this.",Fantasy
Diary,"Misty Wilmot has had it. Once a promising young artist, sheÃ¢â¬â¢s now stuck on an island ruined by tourism, drinking too much and working as a waitress in a hotel. Her husband, a contractor, is in a coma after a suicide attempt, but that doesnÃ¢â¬â¢t stop his clients from threatening Misty with lawsuits over a series of vile messages theyÃ¢â¬â¢ve found on the walls of houses he remodeled.Suddenly, though, Misty finds her artistic talent returning as she begins a period of compulsive painting. Inspired but confused by this burst of creativity, she soon finds herself a pawn in a larger conspiracy that threatens to cost hundreds of lives. What unfolds is a dark, hilarious story from AmericaÃ¢â¬â¢s most inventive nihilist, and PalahniukÃ¢â¬â¢s most impressive work to date.",Fiction
The Amaranth Enchantment,"When Lucinda Chapdelaine was a small child, her parents left for the royal ball and never returned. Ever since, Lucinda has been stuck in perpetual servitude at her evil aunt's jewelry store. Then, on the very same day, a mysterious visitor and an even more bizarre piece of jewelry both enter the shop, setting in motion a string of twists and turns that will forever alter Lucinda's path.In this magical story filled with enchanting surprises, Lucinda will dance at the royal ball, fall under the Amaranth Witch's spell, avenge her parents' death, restore justice to a town that does not yet know the corrupt danger around them, and maybe - just maybe - Lucinda might capture the heart of a prince.",Fantasy
Monsieur Ibrahim and The Flowers of the Qur'an,"Internationally acclaimed play of cross-cultural friendshipParis in the 1960s. Thirteen-year-old Moses lives in the shadow of his less-than loving father. When he's caught stealing from wise old shopkeeper Monsieur Ibrahim, he discovers an unlikely friend and a whole new world. Together they embark on a journey that takes them from the streets of Paris to the whirling dervishes of the Golden Crescent.This delightful, moving play has already been a huge hit in Paris and New York. Performed in thirteen countries and published in twelve languages, it is also an award-winning film starring Omar Sharif.Monsieur Ibrahim and the Flowers of the Qur'an received its UK premiere at the Bush Theatre on 17 January 2006.",Fiction
Divine Secrets of the Ya-Ya Sisterhood,"When Siddalee Walker, oldest daughter of Vivi Abbott Walker, Ya-Ya extraordinaire, is interviewed in the New York Times about a hit play she's directed, her mother gets described as a ""tap-dancing child abuser."" Enraged, Vivi disowns Sidda. Devastated, Sidda begs forgiveness, and postpones her upcoming wedding. All looks bleak until the Ya-Yas step in and convince Vivi to send Sidda a scrapbook of their girlhood mementos, called ""Divine Secrets of the Ya-Ya Sisterhood."" As Sidda struggles to analyze her mother, she comes face to face with the tangled beauty of imperfect love, and the fact that forgiveness, more than understanding, is often what the heart longs for.",Fiction
The Piper,"After an accident as a child that required part of Aiden's right leg to be amputated, he figures he'll never fulfill his dream of making a home elsewhere with a man. He'll just have to make do alone in Hameln even though the Prior rules the place with iron fist. Three nights with a seemingly carefree drifter gives Aiden a taste of what he could have if he left. He's never met anyone with silver hair and colorful wing tattoos who plays the flute, dances, and goes by they. Wren can lure rats with their music, and the Marquess agrees on a fee if the village is cleared of the infestation. When the Marquess refuses to pay, and the Prior accuses them of witchcraft, Wren has no choice but to leave. But not without taking something with them. Loosely based on The Pied Piper of Hameln, this M/X fairytale includes: A nonbinary fairy MCA human MC with a disabilityLoki's daughter, Hel, who might make a deal in exchange for something.SpiceA HEA",Fantasy
Crabwalk,"GÃÂ¼nter Grass has been wrestling with Germany's past for decades now, but no book since The Tin Drum has generated as much excitement as this engrossing account of the sinking of the Wilhelm Gustloff . A German cruise ship turned refugee carrier, it was attacked by a Soviet submarine in January 1945. Some 9,000 people went down in the Baltic Sea, making it the deadliest maritime disaster of all time.Born to an unwed mother on a lifeboat the night of the attack, Paul Pokriefke is a middle-aged journalist trying to piece together the tragic events. While his mother sees her whole existence in terms of that calamitous moment, Paul wishes their life could have been less touched by the past. For his teenage son, who dabbles in the dark, far-right corners of the Internet, the Gustloff embodies the denial of Germany's wartime suffering.""Scuttling backward to move forward,"" Crabwalk is at once a captivating tale of a tragedy at sea and a fearless examination of the ways different generations of Germans now view their past.Winner of the Nobel Prize",Fiction
"Fifth Business (The Deptford Trilogy, #1)","Ramsay is a man twice born, a man who has returned from the hell of the battle-grave at Passchendaele in World War I decorated with the Victoria Cross and destined to be caught in a no man's land where memory, history, and myth collide. As Ramsay tells his story, it begins to seem that from boyhood, he has exerted a perhaps mystical, perhaps pernicious, influence on those around him. His apparently innocent involvement in such innocuous events as the throwing of a snowball or the teaching of card tricks to a small boy in the end prove neither innocent nor innocuous. Fifth Business stands alone as a remarkable story told by a rational man who discovers that the marvelous is only another aspect of the real.",Fiction
"Child of the Prophecy (Sevenwaters, #3)","Child of the Prophecy is the thrilling conclusion to Juliet Marillier's award-winning Sevenwaters Trilogy.Magic is fading... and the ways of Man are driving the Old Ones to the West, beyond the ken of humankind. The ancient groves are being destroyed, and if nothing is done, Ireland will lose its essential mystic core.The prophecies of long ago have foretold a way to prevent this horror, and it is the Sevenwaters clan that the Spirits of Eire look to for salvation. They are a family bound into the lifeblood of the land, and their promise to preserve the magic has been the cause of great joy to them... as well as great sorrow.It is up to Fainne, daughter of Niamh, the lost sister of Sevenwaters, to solve the riddles of power. She is the shy child of a reclusive sorcerer, and her way is hard, for her father is the son of the wicked sorceress Oonagh, who has emerged from the shadows and seeks to destroy all that Sevenwaters has striven for. Oonagh will use her granddaughter Fainne most cruelly to accomplish her ends, and stops at nothing to see her will done.Will Fainne be strong enough to battle this evil and save those she has come to love?",Fantasy
Liar's Poker (Norton Paperback),"The time was the 1980s. The place was Wall Street. The game was called LiarÃ¢â¬â¢s Poker. Michael Lewis was fresh out of Princeton and the London School of Economics when he landed a job at Salomon Brothers, one of Wall StreetÃ¢â¬â¢s premier investment firms. During the next three years, Lewis rose from callow trainee to bond salesman, raking in millions for the firm and cashing in on a modern-day gold rush. LiarÃ¢â¬â¢s Poker is the culmination of those heady, frenzied yearsÃ¢â¬âa behind-the-scenes look at a unique and turbulent time in American business. From the frat-boy camaraderie of the forty-first-floor trading room to the killer instinct that made ambitious young men gamble everything on a high-stakes game of bluffing and deception, here is Michael LewisÃ¢â¬â¢s knowing and hilarious insiderÃ¢â¬â¢s account of an unprecedented era of greed, gluttony, and outrageous fortune. .",Nonfiction
"Night Watch (Discworld, #29; City Watch, #6)","Commander Sam Vimes of the Ankh-Morpork City Watch had it all. But now he's back in his own rough, tough past without even the clothes he was standing up in when the lightning struck...Living in the past is hard. Dying in the past is incredibly easy. But he must survive, because he has a job to do. He must track down a murderer, teach his younger self how to be a good copper, and change the outcome of a bloody rebellion. There's a problem: if he wins, he's got no wife, no child, no future.A Discworld Tale of One City, with a full chorus of street urchins, ladies of negotiable affection, rebels, secret policemen, and other children of the revolution.Truth! Justice! Freedom! And a Hard-boiled Egg!",Fantasy
"Scarlet (The Lunar Chronicles, #2)","Cinder returns in the second thrilling installment of the New York Times-bestselling Lunar Chronicles.SheÃ¢â¬â¢s trying to break out of prisonÃ¢â¬âeven though if she succeeds, sheÃ¢â¬â¢ll be the CommonwealthÃ¢â¬â¢s most wanted fugitive. Halfway around the world, Scarlet BenoitÃ¢â¬â¢s grandmother is missing. It turns out there are many things Scarlet doesnÃ¢â¬â¢t know about her grandmother and the grave danger she has lived in her whole life. When Scarlet encounters Wolf, a street fighter who may have information as to her grandmotherÃ¢â¬â¢s whereabouts, she has no choice but to trust him, though he clearly has a few dark secrets of his own. As Scarlet and Wolf work to unravel one mystery, they find another when they cross paths with Cinder. Together, they must stay one step ahead of the vicious Lunar Queen who will do anything to make Prince Kai her husband, her king, her prisoner.",Fantasy
Gorillas in the Mist,"One of the most important books ever written about our connection to the natural world, Gorillas in the Mist is the riveting account of Dian Fossey's thirteen years in a remote African rain forest with the greatest of the great apes. Fossey's extraordinary efforts to ensure the future of the rain forest and its remaining mountain gorillas are captured in her own words and in candid photographs of this fascinating endangered species. As only she could, Fossey combined her personal adventure story with groundbreaking scientific reporting in an unforgettable portrait of one of our closest primate relatives. Although Fossey's work ended tragically in her murder, Gorillas in the Mist remains an invaluable testament to one of the longest-running field studies of primates and reveals her undying passion for her subject.",Nonfiction
An Anthropologist on Mars: Seven Paradoxical Tales,"To these seven paradoxical tales of neurological disorder and creativity, Oliver Sacks brings the profound compassion and ceaseless curiosity that made ""Awakenings"" and ""The Man Who Mistook His Wife for a Hat"" international bestsellers. He transports us into the uncanny worlds of his subjects, including an artist who loses his ability to see (or even imagine) color; a surgeon who performs delicate operations in spite of the compulsive tics and outbursts of Tourette's syndrome; and an autistic professor who holds a Ph.D. in animal science but is so bewildered by the complexity of human emotion that she feels ""like an anthropologist on Mars.""Through these extraordinary people, Sacks explores what it is to feel, to sense, to remember - to be, ultimately, a coherent self in the world.",Nonfiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"Hillbilly Elegy is a passionate and personal analysis of a culture in crisisÃ¢â¬âthat of white working-class Americans. The disintegration of this group, a process that has been slowly occurring now for more thanÃÂ forty years, has been reported with growing frequency and alarm, but has never before been written about as searingly from the inside. J. D. Vance tells the true story of what a social, regional, and class decline feels like when you were born with it hung around your neck.The Vance family story begins hopefully in postwar America. J. D.Ã¢â¬â¢s grandparents were Ã¢â¬Ådirt poor and in love,Ã¢â¬Â and moved north from KentuckyÃ¢â¬â¢s Appalachia region to Ohio in the hopes of escaping the dreadful poverty around them. They raised a middle-class family, and eventually one of their grandchildren would graduate from Yale Law School, a conventional marker of success in achieving generational upward mobility. But as the family saga of Hillbilly Elegy plays out, we learn that J.D.'s grandparents, aunt, uncle, sister, and, most of all, his mother struggled profoundly with the demands of their new middle-class life,ÃÂ neverÃÂ fully escaping the legacy of abuse, alcoholism, poverty, and trauma so characteristic of their part of America. With piercing honesty, Vance shows how he himself still carries around the demons of his chaotic family history.A deeply moving memoir, with its share of humor and vividly colorful figures, Hillbilly Elegy is the story of how upward mobility really feels. And it is an urgent and troubling meditation on the loss of the American dream for a large segment of this country.",Nonfiction
"The Weirdstone of Brisingamen (Tales of Alderley, #1)","When Colin and Susan are pursued by eerie creatures across Alderley Edge, they are saved by the Wizard. He takes them into the caves of Fundindelve, where he watches over the enchanted sleep of one hundred and forty knights. But the heart of the magic that binds them - Firefrost, also known as the Weirdstone of Brisingamen - has been lost. The Wizard has been searching for the stone for more than 100 years, but the forces of evil are closing in, determined to possess and destroy its special power. Colin and Susan realise at last that they are the key to the Weirdstone's return. But how can two children defeat the Morrigan and her deadly brood?",Fantasy
Reading Lolita in Tehran: A Memoir in Books,"Every Thursday morning for two years in the Islamic Republic of Iran, a bold and inspired teacher named Azar Nafisi secretly gathered seven of her most committed female students to read forbidden Western classics. As Islamic morality squads staged arbitrary raids in Tehran, fundamentalists seized hold of the universities, and a blind censor stifled artistic expression, the girls in Azar Nafisi's living room risked removing their veils and immersed themselves in the worlds of Jane Austen, F. Scott Fitzgerald, Henry James, and Vladimir Nabokov. In this extraordinary memoir, their stories become intertwined with the ones they are reading. Reading Lolita in Tehran is a remarkable exploration of resilience in the face of tyranny and a celebration of the liberating power of literature.",Nonfiction
Rainbirds,"Clarissa GoenawanÃ¢â¬â¢s dark, spellbinding literary debut opens with a murder and shines a spotlight onto life in fictional small-town Japan. Ren Ishida is nearly finished with graduate school when he receives news of his sister Keiko's sudden death. She was viciously stabbed one rainy night on her way home, and there are no leads. Ren heads to Akakawa to conclude his sister's affairs, still failing to understand why she chose to abandon the family and Tokyo for this desolate town years ago. But Ren soon finds himself picking up where Keiko left off, accepting both her teaching position at a local cram school and the bizarre arrangement of free lodging at a wealthy politicianÃ¢â¬â¢s mansion in exchange for reading to the manÃ¢â¬â¢s catatonic wife. As he comes to know the figures in Akakawa, from the enigmatic politician to his fellow teachers and a rebellious, alluring student named Rio, Ren delves into his shared childhood with Keiko and what followed, trying to piece together what happened the night of her death. Haunted in his dreams by a young girl who is desperately trying to tell him something, Ren struggles to find solace in the void his sister has left behind.",Fiction
A Conservation Notebook,"Are You Optimistic We Can Save the Planet?A Conservation Notebook has plenty of Paul in it, but itÃ¢â¬â¢s not intended to be a memoir. Nor is it a history of the modern conservation movement. This highly personal volume from the former head of Creative Services for WWF International wanders from crowded UN conference rooms in Rio to simple farmers in Bhutan, to coral reefs in Micronesia and the Philippines to the wild regions of Indonesian New Guinea where outsiders want a piece of a poor farmerÃ¢â¬â¢s soul to the rainforests of Borneo where indigenous tribesmen fight for their land. From a mythical sacred mountain in India to holy groves in Burma to an ecological war zone in Zimbabwe, from brave people with good intentions to nasty folks with greed tarnishing their hearts.Warning. This book contains no finger-wagging lectures, not too many depressing statistics, and no easy solutions.It is a collection of adventures, encounters, travelerÃ¢â¬â¢s tales, outlying ideas, commentaries, and observations reflecting five decades of work in the nature conservation wonderland, linked by the theme that nature is too important to ignore.",Nonfiction
Collected Fictions,"Jorge Luis Borges has been called the greatest Spanish-language writer of our century. Now for the first time in English, all of Borges' dazzling fictions are gathered into a single volume, brilliantly translated by Andrew Hurley. From his 1935 debut with The Universal History of Iniquity, through his immensely influential collections Ficciones and The Aleph, these enigmatic, elaborate, imaginative inventions display Borges' talent for turning fiction on its head by playing with form and genre and toying with language. Together these incomparable works comprise the perfect one-volume compendium for all those who have long loved Borges, and a superb introduction to the master's work for those who have yet to discover this singular genius.",Fiction
"The Wrinkle in Time Quintet - Digest Size Boxed Set (Time Quintet, #1-5)","The Time Quintet consists of A Wrinkle in Time, A Wind in the Door, A Swiftly Tilting Planet, Many Waters, and An Acceptable Time. The digest box set features the art of Taeeun Yoo.A Wrinkle in Time is one of the most significant novels of our time. This fabulous, ground-breaking science-fiction and fantasy story is the first of five in the Time Quintet series about the Murry family.A Wind in the DoorÃ¢â¬âWhen Charles Wallace falls ill, Meg, Calvin, and their teacher, Mr. Jenkins, must travel inside C.W. to make him well, and save the universe from the evil Echthros.A Swiftly Tilting PlanetÃ¢â¬âThe Murry and O'Keefe families enlist the help of the unicorn, Gaudior, to save the world from imminent nuclear war.Many WatersÃ¢â¬âMeg Murry, now in college, time travels with her twin brothers, Sandy and Dennys, to a desert oasis that is embroiled in war.An Acceptable TimeÃ¢â¬âWhile spending time with her grandparents, Alex and Kate Murry, Polly O'Keefe wanders into a time 3,000 years before her own.",Fantasy
Invisible Cities,"""Kublai Khan does not necessarily believe everything Marco Polo says when he describes the cities visited on his expeditions, but the emperor of the Tartars does continue listening to the young Venetian with greater attention and curiosity than he shows any other messenger or explorer of his."" So begins Italo Calvino's compilation of fragmentary urban images. As Marco tells the khan about Armilla, which ""has nothing that makes it seem a city, except the water pipes that rise vertically where the houses should be and spread out horizontally where the floors should be,"" the spider-web city of Octavia, and other marvelous burgs, it may be that he is creating them all out of his imagination, or perhaps he is recreating fine details of his native Venice over and over again, or perhaps he is simply recounting some of the myriad possible forms a city might take.",Fiction
Bridge to Terabithia,"The 40th anniversary edition of the classic Newbery Medal-winning title by beloved author Katherine Paterson, with brand-new bonus materials including an author's note by Katherine herself and a foreword by New York Times bestselling author Kate DiCamillo. Jess Aarons has been practicing all summer so he can be the fastest runner in the fifth grade. And he almost is, until the new girl in school, Leslie Burke, outpaces him. The two become fast friends and spend most days in the woods behind Leslie's house, where they invent an enchanted land called Terabithia. One morning, Leslie goes to Terabithia without Jess and a tragedy occurs. It will take the love of his family and the strength that Leslie has given him for Jess to be able to deal with his grief.Bridge to Terabithia was also named an ALA Notable ChildrenÃ¢â¬â¢s Book and has become a touchstone of childrenÃ¢â¬â¢s literature, as have many of Katherine PatersonÃ¢â¬â¢s other novels, including The Great Gilly Hopkins and Jacob Have I Loved.",Fiction
"Magic Kingdom for Sale/Sold (Magic Kingdom of Landover, #1)","Landover was a genuine magic kingdom, complete with fairy folk and wizardry, just as the advertisement had promised. But after he purchased it for a million dollars, Ben Holiday discovered that there were a few details the ad had failed to mention. Such as the fact that the kingdom was falling into ruin. The barons refused to recognize a king and taxes hadn't been collected for years. The dragon, Strabo, was laying waste to the countryside, while the evil witch, Nightshade, was plotting to destroy no less than everything. And if that weren't enough for a prospective king to deal with, Ben soon learned that the Iron Mark, terrible lord of the demons, challenged all pretenders to the throne of Landover to a duel to the death - a duel no mere mortal could hope to win. But Ben Holiday had one human trait that even magic couldn't overcome. Ben Holiday was stubborn.",Fantasy
"Orion: The Fight for Vox (Voxian, #2)","Orion goes to Earth to take his degree at University, while away Vox becomes infected, the only people who are safe are those who were not on the planet, Orion and his warrior friends have the task of curing enraged blood sucking warriors, who are now chasing their new prey. . . the Humans and Reptilians who are too cold blooded to be infected. Meet new characters, including Rangi, and Lucifer who challenge the Angels might. Lucifer is a strong Demon and even Kathos must consider if he will be defeated this time. But Kathos has one more ally to call upon, time to meet his Angel Brothers. . .",Fantasy
A Thousand Splendid Suns,"Mariam is only fifteen when she is sent to Kabul to marry the troubled and bitter Rasheed, who is thirty years her senior. Nearly two decades later, in a climate of growing unrest, tragedy strikes fifteen-year-old Laila, who must leave her home and join Mariam's unhappy household. Laila and Mariam are to find consolation in each other, their friendship to grow as deep as the bond between sisters, as strong as the ties between mother and daughter. With the passing of time comes Taliban rule over Afghanistan, the streets of Kabul loud with the sound of gunfire and bombs, life a desperate struggle against starvation, brutality and fear, the women's endurance tested beyond their worst imaginings. Yet love can move people to act in unexpected ways, lead them to overcome the most daunting obstacles with a startling heroism. In the end it is love that triumphs over death and destruction.""A Thousand Splendid Suns"" is a portrait of a wounded country and a story of family and friendship, of an unforgiving time, an unlikely bond, and an indestructible love.",Fiction
"A Conjuring of Light (Shades of Magic, #3)","Witness the fate of beloved heroes - and enemies.THE BALANCE OF POWER HAS FINALLY TIPPED...The precarious equilibrium among four Londons has reached its breaking point. Once brimming with the red vivacity of magic, darkness casts a shadow over the Maresh Empire, leaving a space for another London to rise.WHO WILL CRUMBLE?Kell - once assumed to be the last surviving Antari - begins to waver under the pressure of competing loyalties. And in the wake of tragedy, can Arnes survive?WHO WILL RISE?Lila Bard, once a commonplace - but never common - thief, has survived and flourished through a series of magical trials. But now she must learn to control the magic, before it bleeds her dry. Meanwhile, the disgraced Captain Alucard Emery of the Night Spire collects his crew, attempting a race against time to acquire the impossible.WHO WILL TAKE CONTROL?And an ancient enemy returns to claim a crown while a fallen hero tries to save a world in decay.",Fantasy
Desert Flower,"Waris Dirie ran away from her oppressive life in the African desert when she was barely in her teens, illiterate and impoverished, with nothing to her name but a tattered shawl. She traveled alone across the dangerous Somali desert to Mogadishu Ã¢â¬â the first leg of a remarkable journey that would take her to London, where she worked as a house servant; then to nearly every corner of the globe as an internationally renowned fashion model; and ultimately to New York City, where she became a human rights ambassador for the U.N. Desert Flower is her extraordinary story.",Nonfiction
Empire of the Sun,"The classic, award-winning novel, made famous by Steven Spielberg's film, tells of a young boy's struggle to survive World War II in China.Jim is separated from his parents in a world at war. To survive, he must find a deep strength greater than all the events that surround him.Shanghai, 1941 Ã¢â¬â a city aflame from the fateful torch of Pearl Harbor. In streets full of chaos and corpses, a young British boy searches in vain for his parents. Imprisoned in a Japanese concentration camp, he is witness to the fierce white flash of Nagasaki, as the bomb bellows the end of the war...and the dawn of a blighted world.Ballard's enduring novel of war and deprivation, internment camps and death marches, and starvation and survival is an honest coming-of-age tale set in a world thrown utterly out of joint.",Fiction
Black Swan Green,"From award-winning writer David Mitchell comes a sinewy, meditative novel of boyhood on the cusp of adulthood and the old on the cusp of the new.Black Swan Green tracks a single year in what is, for thirteen-year-old Jason Taylor, the sleepiest village in muddiest Worcestershire in a dying Cold War England, 1982. But the thirteen chapters, each a short story in its own right, create an exquisitely observed world that is anything but sleepy. A world of Kissingeresque realpolitik enacted in boysÃ¢â¬â¢ games on a frozen lake; of Ã¢â¬ÅnightcreepingÃ¢â¬Â through the summer backyards of strangers; of the tabloid-fueled thrills of the Falklands War and its human toll; of the cruel, luscious Dawn Madden and her power-hungry boyfriend, Ross Wilcox; of a certain Madame Eva van Outryve de Crommelynck, an elderly bohemian emigrÃÂ© who is both more and less than she appears; of JasonÃ¢â¬â¢s search to replace his dead grandfatherÃ¢â¬â¢s irreplaceable smashed watch before the crime is discovered; of first cigarettes, first kisses, first Duran Duran LPs, and first deaths; of Margaret ThatcherÃ¢â¬â¢s recession; of Gypsies camping in the woods and the hysteria they inspire; and, even closer to home, of a slow-motion divorce in four seasons.Pointed, funny, profound, left-field, elegiac, and painted with the stuff of life, Black Swan Green is David MitchellÃ¢â¬â¢s most subtlest and effective achievement to date.",Fiction
"Rabbit, Run (Rabbit Angstrom, #1)","Rabbit, Run is the book that established John Updike as one of the major American novelists of hisÃ¢â¬âor any otherÃ¢â¬âgeneration. Its hero is Harry Ã¢â¬ÅRabbitÃ¢â¬Â Angstrom, a onetime high-school basketball star who on an impulse deserts his wife and son. He is twenty-six years old, a man-child caught in a struggle between instinct and thought, self and society, sexual gratification and family dutyÃ¢â¬âeven, in a sense, human hard-heartedness and divine Grace. Though his flight from home traces a zigzag of evasion, he holds to the faith that he is on the right path, an invisible line toward his own salvation as straight as a rulerÃ¢â¬â¢s edge.",Fiction
Shadow & Claw,"The Shadow of the Torturer is the tale of young Severian, an apprentice in the Guild of Torturers on the world called Urth, exiled for committing the ultimate sin of his profession -- showing mercy toward his victim.The Claw of the Conciliator continues the saga of Severian, banished from his home, as he undertakes a mythic quest to discover the awesome power of an ancient relic, and learn the truth about his hidden destiny.The Book of the New Sun is unanimously acclaimed as Gene Wolfe's most remarkable work, hailed as ""a masterpiece of science fantasy comparable in importance to the major works of Tolkien and Lewis"" by Publishers Weekly, and ""one of the most ambitious works of speculative fiction in the twentieth century"" by The Magazine of Fantasy and Science Fiction. Shadow & Claw brings together the first two books of the tetralogy in one volume.",Fantasy
